,units,NSP,RS,Sugars,Acetate,Propionate,CO2,Lactate,H2O
Rtype,none,S,S,S,P,P,P,X,P
halfSat,g/l,0.001,0.001,0.001,NA,NA,NA,NA,NA
yield,g/g,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate,/d,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom,moles,3,3,3,2,4,2,NA,2
keyResource,none,NA,,,,,,,
numPathways,none,2,,,,,,,
Rtype.2,none,X,X,X,P,P,P,Se,P
halfSat.2,g/l,NA,NA,NA,NA,NA,NA,0.001,NA
yield.2,g/g,NA,NA,NA,NA,NA,NA,0.111,NA
maxGrowthRate.2,/d,NA,NA,NA,NA,NA,NA,4.8,NA
stoichiom.2,moles,NA,NA,NA,1,2,1,3,1
keyResource.2,none,Lactate,,,,,,,
pHcorners,pHunits,4.75,5.5,7,7.75,,,,
